Gender;Age;Education_level;Employment_status;Income_group;Country;Household_members_number;Number_vehicles_household;Car_sharing_;Leisure_trips_number;Plan_to_purchase_vehicle;buy_electric
1;59;1;5;4;1;2;1;1;38;4;0
1;45;1;1;3;1;2;1;2;5;3;0
1;62;2;5;3;1;3;2;2;1;3;1
1;21;3;4;5;1;3;0;2;0;2;1
2;54;2;1;4;1;1;1;2;1;3;0
1;22;3;4;5;1;1;1;2;0;4;1
2;51;3;1;3;1;1;1;2;2;4;1
2;63;4;5;5;1;1;0;2;0;4;1
1;53;2;5;4;1;2;2;2;1;2;0
2;37;1;1;5;1;1;1;3;0;4;0
1;58;3;5;4;1;1;1;2;0;3;1
1;36;4;1;3;1;4;3;2;4;4;1
1;65;2;5;3;1;2;1;2;0;4;0
2;17;3;7;3;1;6;2;2;2;2;0
2;23;3;1;3;1;2;1;2;0;4;0
1;59;3;1;3;1;3;2;2;35;2;0
1;50;4;1;3;1;4;2;2;1;3;1
1;17;3;1;2;1;3;4;2;2;4;1
1;21;3;4;4;1;4;1;2;1;4;1
2;59;4;1;4;1;1;1;2;7;4;1
1;56;3;1;3;1;3;3;1;2;2;0
1;53;3;1;2;1;2;2;2;2;3;0
1;59;3;3;3;1;2;2;2;0;2;1
2;51;4;1;3;1;1;2;2;2;2;1
1;55;3;1;3;1;1;1;2;1;3;0
2;48;3;7;5;1;1;0;1;0;2;0
1;21;3;1;3;1;3;2;2;5;4;0
1;40;1;1;3;1;1;2;2;2;4;0
1;45;2;3;5;1;2;3;2;0;3;1
2;55;3;2;3;1;2;2;2;0;4;1
1;55;4;1;3;1;3;3;2;2;3;0
1;49;4;1;4;1;3;1;2;0;2;0
1;34;2;1;3;1;1;1;2;1;3;1
2;43;2;1;3;1;3;2;2;0;4;0
2;53;3;2;4;1;4;2;2;1;1;1
1;54;2;1;3;1;1;2;2;10;2;1
2;24;4;4;4;1;2;1;2;2;3;1
1;55;4;1;4;1;2;3;2;1;3;1
1;57;1;5;3;1;2;2;2;3;4;1
1;39;2;1;3;1;3;1;1;3;3;1
1;53;4;1;3;1;4;3;2;0;3;1
2;50;2;1;3;1;3;2;2;0;4;0
2;51;2;1;3;1;2;1;2;1;4;1
1;39;2;1;3;1;3;3;1;3;2;1
1;34;2;2;3;1;2;1;2;1;3;0
1;39;4;1;3;1;6;2;2;3;4;1
1;58;3;1;2;1;2;4;2;8;2;1
2;31;4;1;4;1;2;0;2;0;2;0
1;53;2;1;3;1;1;0;2;3;5;0
1;54;2;5;4;1;2;2;2;4;4;1
1;42;4;1;3;1;2;1;2;10;4;1
1;19;3;4;2;1;3;2;2;2;4;0
1;55;4;5;5;1;1;1;1;0;1;0
2;33;4;4;3;1;1;1;2;3;2;0
1;23;3;1;3;1;1;1;2;2;4;1
2;28;2;2;2;1;3;2;2;0;4;0
2;58;3;2;3;1;2;1;2;1;2;1
1;38;2;1;3;1;1;1;2;5;4;1
1;57;3;1;4;1;2;1;2;4;3;1
2;30;3;1;2;1;3;2;2;2;4;1
1;53;3;1;2;1;3;2;2;0;2;0
1;52;4;2;5;1;1;1;2;1;3;0
2;30;3;2;3;1;4;2;2;0;4;1
