"","Gender","Age","Education_level","Employment_status","Income_group","Country","Household_members_number","Number_vehicles_household","Leisure_trips_number","Plan_to_purchase_vehicle","buy_electric"
"1","M",59,"Primary (elementary school)","Retired","lower middle","Austria","two",1,38,"No",FALSE
"2","M",45,"Primary (elementary school)","Full time employed","middle","Austria","two",1,5,"Yes, in the next 2 years",FALSE
"3","M",62,"Lower secondary (upper elementary school)","Retired","middle","Austria","three",2,1,"Yes, in the next 2 years",TRUE
"4","M",21,"Upper secondary (high school)","Studying","low","Austria","three",0,0,"Yes, in the next 12 months",TRUE
"5","F",54,"Lower secondary (upper elementary school)","Full time employed","lower middle","Austria","one (myself)",1,1,"Yes, in the next 2 years",FALSE
"6","M",22,"Upper secondary (high school)","Studying","low","Austria","one (myself)",1,0,"No",TRUE
"7","F",51,"Upper secondary (high school)","Full time employed","middle","Austria","one (myself)",1,2,"No",TRUE
"8","F",63,"Tertiary and higher (University degree or PhD)","Retired","low","Austria","one (myself)",0,0,"No",TRUE
"9","M",53,"Lower secondary (upper elementary school)","Retired","lower middle","Austria","two",2,1,"Yes, in the next 12 months",FALSE
"10","F",37,"Primary (elementary school)","Full time employed","low","Austria","one (myself)",1,0,"No",FALSE
"11","M",58,"Upper secondary (high school)","Retired","lower middle","Austria","one (myself)",1,0,"Yes, in the next 2 years",TRUE
"12","M",36,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","four",3,4,"No",TRUE
"13","M",65,"Lower secondary (upper elementary school)","Retired","middle","Austria","two",1,0,"No",FALSE
"14","F",17,"Upper secondary (high school)","I prefer not to answer","middle","Austria","more than five",2,2,"Yes, in the next 12 months",FALSE
"15","F",23,"Upper secondary (high school)","Full time employed","middle","Austria","two",1,0,"No",FALSE
"16","M",59,"Upper secondary (high school)","Full time employed","middle","Austria","three",2,35,"Yes, in the next 12 months",FALSE
"17","M",50,"Tertiary and higher (University degree or PhD)","Full time employed","middle","Austria","four",2,1,"Yes, in the next 2 years",TRUE
